startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFCalHeaterFlag,SHFCalHeaterQF,SHFCalPeriodFlag,SHFInSituCorFactor,SHFInSituCorQF,rangeFailQM,rangePassQM,rangeNAQM,persistenceFailQM,persistencePassQM,persistenceNAQM,stepFailQM,stepPassQM,stepNAQM,nullFailQM,nullPassQM,nullNAQM,gapFailQM,gapPassQM,gapNAQM,spikeFailQM,spikePassQM,spikeNAQM,SHFCalHeaterOnMetric,SHFCalHeaterOffMetric,SHFCalHeaterFailQM,SHFCalHeaterPassQM,SHFCalHeaterNAQM,SHFCalPeriodOnMetric,SHFCalPeriodOffMetric,SHFInSituCorFailQM,SHFInSituCorPassQM,SHFInSituCorNAQM,alphaQM,betaQM,finalQF,finalQFSciRvw
"2016-08-27T00:57:00Z","2016-08-27T00:58:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:58:00Z","2016-08-27T00:59:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T00:59:00Z","2016-08-27T01:00:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:00:00Z","2016-08-27T01:01:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:01:00Z","2016-08-27T01:02:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:02:00Z","2016-08-27T01:03:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:03:00Z","2016-08-27T01:04:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:04:00Z","2016-08-27T01:05:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:05:00Z","2016-08-27T01:06:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:06:00Z","2016-08-27T01:07:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
"2016-08-27T01:07:00Z","2016-08-27T01:08:00Z",,,,,,,,-1,-1,-1,,-1,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,100.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,1,
